url,name,5,4,3,2,1,total
https://www.amazon.com/Skechers-Womens-Microburst-Fashion-Sneaker/dp/B06XFNBWXB/ref=sr_1_56?keywords=sneakers&qid=1638028632&sr=8-56#customerReviews,Skechers Women's Microburst One up Fashion Sneaker,70%,14%,8%,3%,5%,7867
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07647002CK9S0FD0VTNJ&url=%2FGSLMOLN-Running-Fashion-Lightweight-Training%2Fdp%2FB08QZ18X2Y%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-57-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_btf#customerReviews,GSLMOLN Womens Walking Shoes Mesh Non Slip Lady Girls Lightweight Casual Fashion Sneakers,66%,12%,9%,4%,9%,1219
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0910376KYKZS5LL3NJ7&url=%2FWalking-Fashion-Sneakers-Lightweight-Comfortable%2Fdp%2FB08CZ9WPXZ%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-58-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_btf#customerReviews,vibdiv Womens Walking Shoes Sock Sneakers Daily Shoes Slip-on Lightweight Comfortable Breathable,67%,16%,8%,4%,5%,2768
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03410813A8TCTGBLC8UQ&url=%2FDamyuan-Athletic-Running-Lightweight-Comfortable%2Fdp%2FB08FB64Q5Z%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-59-spons%26psc%3D1%26smid%3DA3VMZBK1QBMYKT&qualifier=1638028632&id=5473089667684586&widgetName=sp_btf#customerReviews,Damyuan Women's Walking Shoes Tennis Sneakers Casual Lace Up Lightweight Running Shoes,65%,16%,8%,4%,8%,2324
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03432342UIS0PD73Z51Y&url=%2FCole-Haan-Crosscourt-Sneaker-Leather%2Fdp%2FB079J6DKF2%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-60-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_btf#customerReviews,Cole Haan Women's Grand Crosscourt Sneaker,74%,12%,6%,3%,5%,2168
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0549866OS48859KH1JC&url=%2FCOKAFIL-Walking-Running-Athletic-Sneakers%2Fdp%2FB07RKMD2D1%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028993%26sr%3D8-49-spons%26psc%3D1&qualifier=1638028993&id=485022275780133&widgetName=sp_atf_next#customerReviews,COKAFIL Mens Running Shoes Athletic Walking Blade Tennis Shoes Fashion Sneakers,66%,14%,8%,4%,8%,14030
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01746752VWE7BQEMICB9&url=%2FLamincoa-Athletic-Lightweight-Breathable-Blue-Rose%2Fdp%2FB08CXNS29N%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028993%26sr%3D8-50-spons%26psc%3D1&qualifier=1638028993&id=485022275780133&widgetName=sp_atf_next#customerReviews,Lamincoa Womens Air Running Shoes Lightweight Women Sneakers Air Cushion Walking Tennis Shoes for Women,66%,15%,8%,4%,7%,4918
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08828492HUEMRHT066F4&url=%2FAPRILSPRING-Running-Lightweight-Athletic-Breathable%2Fdp%2FB08Q3CQPWG%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028993%26sr%3D8-51-spons%26psc%3D1&qualifier=1638028993&id=485022275780133&widgetName=sp_atf_next#customerReviews,APRILSPRING Women Walking Running Shoes Fashion Sports Non-Slip Shoes,67%,14%,8%,4%,8%,6920
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02245923JBEGX4FR61BS&url=%2FSTQ-Walking-Comfortable-Sneakers-Lightweight%2Fdp%2FB08YMM6RDB%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028993%26sr%3D8-52-spons%26psc%3D1&qualifier=1638028993&id=485022275780133&widgetName=sp_atf_next#customerReviews,STQ Womens Walking Shoes Slip On Mesh Sneakers Lightweight Comfortable Arch Support,56%,19%,10%,5%,11%,445
https://www.amazon.com/Nike-React-Element-Bq6166-008-Black/dp/B07MVQK366/ref=sr_1_53?keywords=sneakers&qid=1638028993&sr=8-53#customerReviews,Nike Mens React Element 55 Running Shoes,71%,13%,5%,3%,8%,1261
