url,name,5,4,3,2,1,total
https://www.amazon.com/Acer-A515-56-50RS-i5-1135G7-Graphics-Fingerprint/dp/B08PG4W932/ref=sr_1_23?keywords=laptop&qid=1638026371&sr=8-23#customerReviews,"Acer Aspire 5 A515-56-50RS 15.6"" Full HD IPS Display 11th Gen Intel Core i5-1135G7 Intel Iris Xe Graphics 8GB DDR4 256GB NVMe SSD WiFi 6 Fingerprint Reader Backlit Keyboard",66%,17%,6%,2%,9%,829
https://www.amazon.com/Newest-Lenovo-Ideapad-Premium-Laptop/dp/B09B3CD1K3/ref=sr_1_24?keywords=laptop&qid=1638026371&sr=8-24#customerReviews,"2021 Newest Lenovo Ideapad 3 15.6"" Premium FHD Laptop 6-core AMD Ryzen 5 5500U(up to 4.0GHz) 20GB RAM 512GB NVMe SSD AMD Radeon 7 up to 12 Hours Webcam HDMI Win 10",48%,8%,8%,8%,28%,17
https://www.amazon.com/HP-Flagship-i5-1135G7-i7-1060G7-Bluetooth/dp/B09G9K16KF/ref=sr_1_25?keywords=laptop&qid=1638026371&sr=8-25#customerReviews,2021 Newest HP 15.6 FHD IPS Flagship Laptop 11th Gen Intel 4-Core i5-1135G7(Up to 4.2GHz Beat i7-1060G7) 16GB RAM 512GB PCIe SSD Iris Xe Graphics WiFi Bluetooth Win10 S,70%,25%,0%,0%,4%,32
https://www.amazon.com/Flagship-Dell-15-Quad-Core-i5-1135G7/dp/B08XNHQVN3/ref=sr_1_26?keywords=laptop&qid=1638026371&sr=8-26#customerReviews,2021 Flagship Dell Inspiron 15 5000 15.6 inch FHD Laptop 11th Gen Intel Quad-Core i5-1135G7 16GB DDR4 RAM 512GB SSD Backlit Keyboard Windows 10 Home - Silver (Latest Model) LPT Accessory,78%,0%,0%,8%,14%,16
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A04230511NUGYB06CNFHS&url=%2FHP-Business-i5-7200U-Bluetooth-Accessories%2Fdp%2FB087WR7LXQ%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026371%26sr%3D8-27-spons%26psc%3D1%26smid%3DAM0VWZ1WMK39K&qualifier=1638026371&id=7227113810181914&widgetName=sp_mtf#customerReviews,2021 HP 14 inch HD Laptop Newest for Business and Student AMD Athlon Silver 3050U (Beat i5-7200U) 16GB DDR4 RAM 512GB SSD 802.11ac WiFi Bluetooth HDMI Windows 10 w/HESVAP 3in1 Accessories,70%,16%,5%,3%,6%,2719
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A050009010DRMYT52CXRY&url=%2FTocosy-10-1Inch-Graphics-Computer-Bluetooth%2Fdp%2FB08MZVJRQF%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026371%26sr%3D8-28-spons%26psc%3D1%26smid%3DAY5L4JFI75MIZ&qualifier=1638026371&id=7227113810181914&widgetName=sp_mtf#customerReviews,Tocosy Laptop 10.1Inch Quad Core Windows 10 HD Graphics Ultra Thin Computer PC 2GB RAM 32GB Storage 1.92GHZ USB 2.0 WiFi Bluetooth HDMI IPS Display Notebook (White),48%,12%,14%,10%,17%,155
https://www.amazon.com/ASUS-Ultra-Slim-Thunderbolt-noise-cancellation-UX425EA-EH51/dp/B08ZLD7WX9/ref=sr_1_29?keywords=laptop&qid=1638026371&sr=8-29#customerReviews,ASUS ZenBook 14 Ultra-Slim Laptop 14” Full HD NanoEdge Display Intel Core i5-1135G7 8GB RAM 512GB PCIe SSD NumberPad Thunderbolt 4 Windows 10 Home AI noise-cancellation Pine Grey UX425EA-EH51,72%,12%,5%,1%,10%,156
https://www.amazon.com/ASUS-IPS-Type-i7-11800H-Processor-TUF506HM-ES76/dp/B096VBG93J/ref=sr_1_30?keywords=laptop&qid=1638026371&sr=8-30#customerReviews,ASUS TUF Gaming F15 Gaming Laptop 15.6” 144Hz FHD IPS-Type Display Intel Core i7-11800H Processor GeForce RTX 3060 16GB DDR4 RAM 1TB PCIe SSD Wi-Fi 6 Windows 10 Home TUF506HM-ES76,81%,9%,3%,3%,3%,80
https://www.amazon.com/HP-Portable-Micro-Edge-Anti-Glare-14-fq1021nr/dp/B091D9652Z/ref=sr_1_31?keywords=laptop&qid=1638026371&sr=8-31#customerReviews,HP 14 Laptop AMD Ryzen 5 5500U 8 GB RAM 256 GB SSD Storage 14-inch Full HD Display Windows 10 Home Thin & Portable Micro-Edge & Anti-Glare Screen Long Battery Life (14-fq1021nr 2021),68%,20%,4%,1%,6%,384
https://www.amazon.com/ASUS-FX706-i5-11260H-Processor-keyboard/dp/B09JDYBTNS/ref=sr_1_32?keywords=laptop&qid=1638026371&sr=8-32#customerReviews,"2021 ASUS TUF FX706 VR Ready Gaming Laptop 17.3"" 144Hz FHD Intel 11th Gen i5-11260H 6-Core Processor NVIDIA GeForce RTX 3050 Ti 16GB DDR4 RAM 512GB PCIe SSD RGB Backlit keyboard Windows 10 Home",80%,13%,7%,0%,0%,35
