name,excellent,very_good,average,poor,terrible
Millennium & Copthorne Hotels at Chelsea Football Club,929,1131,510,207,153
Prince Regent Hotel Excel London,221,166,69,38,44
Holiday Inn London - Kensington High St. an IHG hotel,811,609,332,207,195
Pelican London Hotel and Residence,104,109,37,15,7
The Westminster London Curio Collection by Hilton,36,11,9,2,3
Hilton London Hyde Park,352,303,135,61,39
The Z Hotel Soho,772,818,258,122,90
Millennium Gloucester Hotel London Kensington,1944,2164,1153,585,413
Regency House Hotel,139,192,82,31,28
London Marriott Hotel Maida Vale,430,641,243,115,68
Grange Beauchamp Hotel,364,388,128,56,36
Best Western Swiss Cottage Hotel,213,348,184,72,46
Portobello Hotel,149,65,15,13,18
MOXY London Excel,149,177,63,27,26
Marlin Apartments - Empire Square,332,234,107,55,85
Durrants Hotel,233,203,110,60,37
The Villa Kensington,138,250,91,27,14
