name,excellent,very_good,average,poor,terrible
Excelsior Hotel,720,1029,359,134,128
The Moore,13,0,0,0,0
Bristol Plaza,14,1,1,0,0
Comfort Inn Sunset Park / Park Slope,9,16,7,2,2
The Helmsley Windsor,6,6,1,0,0
Springhills Suites by Marriott,2,7,2,1,0
Envoy Club Suites,44,36,15,14,21
Inter-Continental Central Park South New York,4,2,0,0,0
The TIME Hotel New York,1,1,1,0,0
Courtyard,2,1,3,0,0
Downtown Athletic Center,1,3,0,0,0
U Hotel,4,5,1,1,3
Econolodge,1,3,0,0,1
Oxbridge Midtown East Apartments,0,7,3,1,0
Third Ave House,2,0,0,1,1
Hotel Olcott,2,0,0,1,0
Broadway Tower,0,1,0,0,0
YourStay MidTown Apartments,15,14,4,4,15
La Quinta Inn & Suites Manhattan,1,1,1,0,1
National at Park Towers,1,0,0,0,1
Beekman Apartments,1,5,5,3,3
The Melrose Hotel,0,2,0,1,0
East Bridge,0,1,0,0,0
A Hospitality Company Inc.,2,0,1,1,1
Oxbridge Apts Gramecy Park,0,0,1,0,0
Mayfair Hotel,157,404,292,129,131
Royal Park Hotel,146,191,211,79,139
138 Bowery,8,5,3,0,2
The Mansfield,29,40,19,19,30
Hotel Pennsylvania,375,530,483,209,513
Hotel Riu Plaza Manhattan Times Square,2,0,0,0,1
Pleasant Place,0,1,0,0,0
The Moore,13,0,0,0,0
Morningside Inn,77,213,277,129,247
Oxbridge Apts Gramecy Park,0,0,1,0,0
Beacon Light Motel,0,0,1,0,0
The Amsterdam Inn,9,34,31,14,22
The Grant Hotel,1,17,9,4,11
Fairfield Inn & Suites,1,1,1,0,2
Signature Properties,0,1,0,0,2
The Dorset,0,0,0,2,0
Wall Street District Hotel,0,0,1,2,0
The Leo House,0,1,0,0,1
Elk Hotel,0,1,1,0,2
Chelsea Inn - 11th Avenue,0,2,6,4,6
Senton Hotel,2,1,4,4,15
Mount Royal Hotel & Hostel,3,8,8,9,37
La Semana Hotel,0,4,1,3,24
The Court - A St Giles Hotel,1,0,0,0,1
Midtown Convention Center Hotel,107,319,297,135,127
The Soho Loft,6,6,0,2,12
Hudson New York,1337,2598,2014,1290,1273
Midtown West Hotel,18,40,33,34,39
Riff Chelsea,29,64,62,43,77
Hotel Cliff,2,1,1,3,4
SpringHill Suites New York Midtown Manhattan/Park Avenue,0,0,0,0,1
Hyatt Place New York/Chelsea,0,0,0,0,1
Hotel Riverside Studios,7,37,72,38,140
World Hotel,6,15,58,66,287
The Moore,13,0,0,0,0
Easyliving-harlem,289,5,0,1,1
710 Guest Suites,213,8,0,0,0
Chez Michelle,168,23,1,0,0
East Village Apartments by Sudha,314,68,4,5,3
A Garden In Chelsea,141,13,3,2,0
Heart of Harlem,156,34,1,0,2
New York Presbyterian Guest Facility,537,243,72,17,11
The Townhouse Inn of Chelsea,310,88,21,14,10
The Moore,13,0,0,0,0
The West Townhouse,94,9,1,2,0
Bubba and Bean (BB) Lodges,188,59,9,0,9
Greenwich Village Habitue,169,16,4,2,7
Chic&Budget New York,113,73,14,5,3
City Rooms NYC Chelsea,75,66,20,5,7
La Sienna,101,45,17,4,8
Jones Street Guesthouse,57,15,5,2,1
Margot Guest House,42,22,9,0,0
Sacred Heart Residence,23,26,7,2,2
The Townhouse Inn of Chelsea,310,88,21,14,10
Soul Food Mont Morris,365,217,38,7,12
Sonder | Chambers,455,212,71,29,18
Sanctuary NYC Retreats,154,79,16,8,9
Collective Governors Island,161,60,31,23,14
AKA United Nations,60,6,1,0,0
Murray Hill East Suites,196,330,98,35,17
255West Guesthouse,67,13,3,1,1
Harlem Grand,80,35,5,3,3
The Harlem Flophouse,124,57,14,8,7
West 119th B&B,44,9,0,0,0
Sonder | Battery Park,53,6,2,2,6
AKA Sutton Place,58,7,5,4,0
The Beekman Tower Trademark Collection by Wyndham,51,23,3,6,6
Gramercy Townhouse by Sudha,38,0,1,0,1
Candy Hill Harlem,214,152,32,17,49
Jazz on Columbus Circle,62,97,45,16,18
Broadway Hotel and Hostel,246,558,295,107,122
Metro Apartments,78,167,74,31,29
Be Home Hotel,42,21,14,2,8
Chelsea International Hostel,103,269,205,86,79
The Moore,13,0,0,0,0
East Village Suites,77,40,10,6,13
The Sutton Residence,42,35,5,0,4
