name,excellent,very_good,average,poor,terrible
Martis Palace Hotel Rome,446,42,4,2,1
Domus Libera,174,10,4,1,0
Relais Donna Lucrezia,211,12,2,1,1
Nerva Boutique Hotel,867,131,12,2,4
Bless&B B&B,136,13,1,0,0
Inn Urbe Colosseo B&B,263,29,1,1,1
Hotel Locarno,144,22,3,1,0
Maison Trevi,348,47,0,0,0
B&B Roma Borgo91,152,21,0,1,0
Relais Merulana Guest House,160,19,1,0,0
La Piccola Maison,762,98,11,2,0
Abbraccia Morfeo,234,47,2,0,0
Princeps Boutique Hotel,594,112,11,4,1
The Inn At The Roman Forum,1659,227,54,23,14
Suites Piazza del Popolo,161,19,0,2,0
Nicolas Inn,727,86,8,4,3
Cardilli Luxury Rooms,465,78,7,1,1
Suite Oriani,378,90,7,6,1
Novotel Roma Est Hotel,256,513,261,68,52
Hotel Orazia,82,157,102,26,18
Queen Palace Suites,42,3,0,0,2
B&B Hotel Roma Pietralata Tiburtina,37,15,5,2,2
Hotel Artis,181,330,191,60,35
BV Oly Hotel,178,321,204,62,35
Hotel Concordia,277,211,120,55,40
Hotel Gioberti,137,264,192,59,45
Holiday Inn Rome - Eur Parco Dei Medici an IHG hotel,305,618,427,199,131
Adriatic Hotel,123,285,141,47,27
Villa Delle Rose Hotel,87,163,89,35,33
Celio Hotel,128,77,21,16,25
Assisi Hotel,72,130,60,23,10
Prassede Palace Hotel,31,10,3,1,1
Residenza Roma,40,24,2,3,1
Hotel Patria,127,319,212,59,47
Hotel San Marco,168,249,127,43,54
L'antica Locanda Dell'Orso,64,78,30,8,10
Eurogarden,68,117,64,15,11
Hotel Piemonte,196,425,226,60,34
Argentina Hotel,54,153,85,23,11
Hotel Serena,231,458,197,56,60
Hotel Alessandrino,92,144,89,29,17
Hotel Genio,176,414,195,101,81
Hotel City,61,121,65,17,11
Urban Garden Hotel,65,59,30,13,10
Hotel Santa Prisca,31,104,35,12,7
Emmaus,134,139,80,35,31
The Spanish Suite Campo de' Fiori,63,53,14,13,7
Aphrodite Hotel,158,351,242,73,62
Hotel Savoy Roma,831,697,267,74,46
NH Collection Roma Vittorio Veneto,1310,991,258,92,52
Hotel Pantheon Rome,517,307,82,25,33
Boutique Hotel Galatea,79,22,8,1,1
Villa San Lorenzo Maria Hotel,704,386,115,38,26
Eitch Borromini,201,28,15,13,10
Hotel Hiberia Roma,502,594,188,52,38
The One Boutique Hotel & SPA - Adults Only,71,5,4,0,1
Hilton Garden Inn Rome Claridge,590,611,193,47,18
Top Floor Colosseo Guestehouse,104,14,4,0,3
Hotel Regno,820,919,210,57,27
Mia Suites,137,86,18,5,5
Hotel Fellini,424,528,125,42,24
Il Cantico,275,226,58,18,12
Lilium Hotel,216,182,43,12,8
Hotel Forum Roma,746,567,207,103,66
Domus Capilupi,69,5,1,0,0
Vatican Relais Rome,89,28,3,1,2
JC Contemporary Hotel,206,95,40,14,11
Giuturna Boutique Hotel,110,52,9,4,3
The Hive Hotel,257,114,34,15,23
Mercure Roma Piazza Bologna,695,1303,384,56,40
Vino e Oli Residenze,67,2,0,0,0
iRooms Rome Forum & Colosseum,260,82,21,13,15
FH55 Grand Hotel Palatino,961,1093,382,150,80
Relais Cavour Inn,85,53,10,1,1
Leonardo Da Vinci Guest House,68,4,1,0,0
Annette B&B,126,38,5,2,1
Stay Inn,242,180,42,28,10
Hotel Emona Aquaeductus,269,262,97,50,28
Doubletree by Hilton Rome Monti,64,13,2,0,1
Hotel della Conciliazione,687,329,39,15,18
Sofitel Roma Villa Borghese Hotel,1691,644,190,61,34
Capo D'Africa Hotel - Colosseo,1535,656,123,42,30
c-hotels Fiume,469,473,76,28,12
Rome Times Hotel,1193,635,123,34,26
Hotel Palazzo Manfredi - Small Luxury Hotels of the World,479,98,24,15,17
Hotel Centro Cavour,274,147,30,9,1
c-hotels Club House,117,52,10,3,5
Hotel Raffaello - Sure Hotel Collection by Best Western,1788,918,163,42,20
Residenza Paolo VI,375,151,36,11,9
The Republic Hotel,131,67,9,2,6
Deseo Home,321,194,23,3,3
Maison Tritone,67,1,0,0,0
Torre Argentina Relais,290,68,18,4,20
Hotel La Rovere,336,198,54,14,8
Trevi Palace Hotel,188,69,16,6,6
Aenea Superior Inn,328,153,33,8,5
HT6 Hotel,337,95,27,5,17
The Style Hotel,242,96,24,6,9
Hotel Pulitzer Roma,700,655,147,25,14
Hotel Tuscolana,259,218,29,5,9
Le Suite del Barone,79,11,1,1,0
Charme Spagna Boutique Hotel,113,51,10,0,4
Residence Regola,146,65,10,2,3
Hotel Lodi,387,118,34,14,16
Luxe Rose Garden Hotel Roma,742,364,65,22,13
Domus Caracalla,242,142,26,7,6
Arena House - Daplace Collection,275,110,31,11,2
Hotel de Russie,1233,262,120,74,49
Yes Hotel,914,733,129,27,25
Hotel Villa Pinciana,407,244,33,13,15
UNAHOTELS Deco Roma,1936,1348,232,60,44
Yellow Square,1172,666,256,92,88
Condominio Monti,111,25,13,3,3
Hotel Grifo,728,473,127,56,32
Domus Australia Roma,397,159,29,9,5
Crowne Plaza Rome - St. Peter's an IHG hotel,1876,1556,578,194,84
Hotel Ponte Sisto,1148,776,154,50,33
Elizabeth Unique Hotel,129,6,2,1,5
Relais Le Clarisse in Trastevere,334,203,40,19,7
Hotel Modigliani,868,492,104,40,20
Harry's Bar Hotel & Restaurant,130,15,5,2,3
Grand Hotel Palace,412,194,88,30,22
Residenza Ave Roma,277,114,18,5,14
Best Western Plus Hotel Spring House Rome,736,675,171,40,36
Hotel Navona,643,515,127,50,49
Fragrance Hotel St.Peter,412,249,52,13,8
Resort la Rocchetta,139,78,21,1,1
DOM Hotel Roma,209,65,29,9,15
Domus RomAntica,193,96,27,2,3
Gemme di Roma Accomodation,90,19,6,0,0
Little rHome Suites,156,95,16,5,3
Relais Giulia,243,110,19,5,15
La Casa di Amy,269,190,41,15,14
Federica's Home,137,42,4,3,1
Comics guesthouse,243,139,34,11,6
Roma Boutique Hotel,428,203,48,9,7
Hotel Camelia,508,416,80,12,8
Hotel Romano,152,107,21,5,0
Ferrari Home B&B,93,71,11,2,5
Alba sul Vaticano,145,17,0,0,0
New Design St. Peter,150,19,3,1,1
Princeps Boutique Hotel,594,112,11,4,1
Made in Rome Bed&Breakfast,165,28,3,2,0
St. John's Terrace,271,43,6,1,2
Domus 21 Luxury Suites,1,0,0,0,0
The Great Beauty,130,14,2,0,0
The Pope's Window,139,23,2,2,0
Impero Vaticano Groups,237,28,5,4,2
Terrazza Marco Antonio Luxury Suite,191,22,8,4,5
Casa Montani - Luxury Guest House,294,55,6,1,2
Kosher Bed & Breakfast La Casa di Eva,211,17,6,0,1
Buonanotte Garibaldi B&B,158,22,9,0,1
Incentrum,140,22,3,2,1
Arco Del Lauro,747,158,13,6,1
Residenza Torre Colonna,450,62,9,6,2
Bed and Breakfast Smart,228,29,5,1,1
Trastevere Colors,169,25,4,2,0
Le Stanze di Orazio,266,63,1,1,0
Internazionale Domus,238,47,4,3,3
Colosseo Panoramic Rooms,264,45,3,2,1
Roma In Una Stanza,172,37,2,0,0
Bed & Breakfast Angolo Romano,315,61,7,1,0
B&B Bibi e Romeo's Home,380,65,8,2,2
Via del Corso Home,183,27,7,1,2
1880 Atypical Rooms,401,98,3,2,0
Blue Inn Luxury Suites,194,25,4,2,2
Il Colonnato,138,29,5,0,1
Gregory B&B Vatican,248,48,5,3,0
Star of Rome,397,38,9,1,1
Locanda al Viminale,695,121,18,1,2
Domus 21 Luxury Suites,1,0,0,0,0
NH Collection Roma Centro,648,867,455,169,111
Orazio Palace Hotel,32,6,1,0,0
Radisson Blu GHR Hotel Rome,283,200,103,58,62
Hotel Medici,254,439,144,46,15
NH Roma Villa Carpegna,575,692,348,126,81
Ferrari Home B&B,93,71,11,2,5
Hotel Romanico Palace,788,862,478,209,100
Best Western Globus Hotel,472,826,297,74,34
Vivaldi Luxury Rooms,107,65,16,2,2
Black and White Suite,99,27,8,2,1
Eccelso Hotel,49,11,3,1,0
Excellence Suite,106,117,35,15,11
La Maison di Sant'Anna,74,26,4,2,1
Anthony Guesthouse,107,64,17,5,4
Hotel Solis,293,301,80,29,33
little queen,127,57,11,4,5
Best Pantheon B&B,145,60,17,3,5
Orange Suites,84,31,6,1,4
Hotel Sonya,683,713,233,68,56
De Guestibus Guest House,67,13,0,0,1
Hotel Galileo,206,274,109,26,23
Residenza Antica Roma,202,253,81,33,19
Da Me Suites,58,28,3,1,0
TATA Bed & Breakfast,74,11,2,0,0
Gardenia Suite,65,25,2,2,2
Domus Scipioni,63,17,0,0,0
Jb Relais Luxury,70,14,6,0,1
Comfort Hotel Bolivar,414,243,131,54,67
Adriano Augusto,81,8,0,0,0
Exe Domus Aurea,171,359,138,37,15
Hotel Siena Roma,173,215,65,17,23
Domus 21 Luxury Suites,1,0,0,0,0
UNAWAY Hotel Empire Roma,402,545,194,50,30
Hotel Valadier,437,435,168,92,67
Hotel Piazza Venezia,153,125,37,11,26
Novotel Roma Eur,357,557,192,61,33
Hotel Principe Torlonia,230,158,63,26,35
Ferrari Home B&B,93,71,11,2,5
Le Quattro Dame,64,10,4,1,1
Royal Suite Trinita dei Monti,62,9,4,0,1
Second Floor Boutique Hotel,136,63,16,8,9
Pantheon Relais,147,68,16,14,10
Opera Suites,69,20,1,2,2
Bon Ton Suite,90,63,21,0,2
Monti First,95,62,16,5,4
Hotel San Giovanni,50,27,5,3,1
Sina Bernini Bristol,507,374,223,96,73
Eurostars Roma Aeterna,480,639,216,96,56
Casacau,66,7,5,1,0
B&B Da Ponticello,69,12,3,0,0
All Time Relais & Sport Hotel,144,213,60,23,11
Green Line,68,12,2,0,0
Gaia's Room B&B,71,3,0,0,0
Vatican Rooms Holiday in Rome,61,11,2,0,0
Hotel Ranieri,191,323,102,27,15
BDB Luxury Rooms Margutta,83,54,18,6,3
Julius Caesar B&B,103,47,8,5,2
All'Ombra di San Pietro,66,11,0,1,1
Le Terrazze di San Giovanni,78,44,11,2,2
B&B Domus Diana,100,44,7,4,3
