url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g186338-d193079-Reviews-The_Royal_Horseguards-London_England.html#REVIEWS,The Royal Horseguards,4130,1339,486,237,120
https://www.tripadvisor.com/Hotel_Review-g186338-d193068-Reviews-Millennium_Hotel_London_Knightsbridge-London_England.html#REVIEWS,Millennium Hotel London Knightsbridge,587,521,274,149,103
https://www.tripadvisor.com/Hotel_Review-g186338-d16736888-Reviews-Sloane_Place-London_England.html#REVIEWS,Sloane Place,176,36,13,2,6
https://www.tripadvisor.com/Hotel_Review-g186338-d12146171-Reviews-Heeton_Concept_Hotel_Luma_Hammersmith-London_England.html#REVIEWS,Heeton Concept Hotel-Luma Hammersmith,253,170,55,21,19
https://www.tripadvisor.com/Hotel_Review-g186338-d15100964-Reviews-Bankside_Hotel-London_England.html#REVIEWS,Bankside Hotel,252,19,4,0,2
https://www.tripadvisor.com/Hotel_Review-g186338-d187990-Reviews-The_Capital_Hotel_Apartments_Townhouse_London-London_England.html#REVIEWS,The Capital Hotel Apartments & Townhouse - London,1201,236,58,25,12
https://www.tripadvisor.com/Hotel_Review-g186338-d193071-Reviews-Henley_House_Hotel-London_England.html#REVIEWS,Henley House Hotel,230,318,83,29,15
https://www.tripadvisor.com/Hotel_Review-g186338-d187571-Reviews-Thistle_Hyde_Park-London_England.html#REVIEWS,Thistle Hyde Park,456,482,166,84,75
https://www.tripadvisor.com/Hotel_Review-g186338-d193070-Reviews-The_Bailey_s_Hotel_London_Kensington-London_England.html#REVIEWS,The Bailey's Hotel London Kensington,1026,430,126,76,71
https://www.tripadvisor.com/Hotel_Review-g186338-d188960-Reviews-My_Bloomsbury-London_England.html#REVIEWS,My Bloomsbury,459,432,206,106,71
https://www.tripadvisor.com/Hotel_Review-g186338-d192036-Reviews-The_Montague_on_The_Gardens-London_England.html#REVIEWS,The Montague on The Gardens,4354,724,114,26,15
https://www.tripadvisor.com/Hotel_Review-g186338-d1061544-Reviews-Travelodge_London_Central_Southwark-London_England.html#REVIEWS,Travelodge London Central Southwark,1362,1220,507,238,202
https://www.tripadvisor.com/Hotel_Review-g186338-d3437751-Reviews-South_Place_Hotel-London_England.html#REVIEWS,South Place Hotel,1264,195,42,19,19
