name,5,4,3,2,1,total
New Balance Men's 623 V3 Casual Comfort Cross Trainer,70%,17%,6%,2%,4%,9045
adidas Men's Hoops Mid 2.0 Basketball Shoe Black/White/Black 12,82%,9%,5%,0%,3%,175
HARLEY-DAVIDSON FOOTWEAR Men's Roarke-m,74%,11%,7%,2%,6%,727
Nike Men's Race Running Shoe,73%,15%,5%,2%,4%,2326
Skechers mens Stamina - Nuovo,74%,15%,6%,2%,3%,3410
OLUKAI Alapa Li Men's Athletic Sneakers Breathable Mesh & Moisture-Wicking Design No Tie Laces Lightweight & Supportive,80%,11%,4%,2%,4%,740
Nike Men's Gymnastics Shoes,81%,8%,3%,2%,6%,3805
Damyuan Mens Lightweight Athletic Running Walking Gym Shoes Casual Sports Shoes Fashion Sneakers Walking Shoes,58%,17%,10%,5%,9%,4671
Tvtaop Mens Tennis Shoes Athletic Running Shoes Lightweight Sneakers Non Slip Walking Gym Shoes,57%,18%,10%,4%,11%,306
BRONAX Men's Stylish Graffiti Personality Sneakers,68%,16%,8%,3%,5%,12813
Skechers Sport Men's Stamina Nuovo Cutback Lace-Up Sneaker,76%,14%,6%,2%,2%,13633
PUMA Men's Tazon 6 Fade Cross-Trainer Shoe,74%,15%,6%,2%,3%,20696
Under Armour Men's Ignite Vi Graphic Strap Slide Sandal,76%,13%,6%,2%,3%,42645
K-Swiss Men's ST329 Sneaker,81%,12%,3%,2%,2%,2219
New Balance Men's 520 V7 Running Shoe,68%,16%,7%,3%,5%,1175
Lacoste Men's Chaymon Sneaker,76%,12%,5%,2%,5%,2162
Under Armour Men's Charged Assert 9 Running Shoe,80%,12%,4%,1%,3%,2542
Concept 3 by Skechers Men's Eakins Lace-up Sneaker,57%,28%,10%,4%,2%,216
Sperry Men's Coast Line Blucher,79%,15%,5%,0%,1%,89
New Balance Men's Fresh Foam Arishi V3 Running Shoe,74%,15%,5%,2%,4%,5095
adidas Men's Trainers,82%,10%,4%,2%,3%,2698
Nautica Men's Fashion Sneakers Lace-Up Trainers Basketball Style Walking Shoes,75%,0%,25%,0%,0%,7
YDB Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,61%,20%,9%,4%,7%,1844
MAINCH Men's Fashion Sneakers Casual Walking Shoes Athletic Work Shoes,56%,19%,8%,7%,11%,58
Diesel Men's S-astico Low Cut Sneakers,100%,0%,0%,0%,0%,1
ECCO Men's Collin 2.0 Slip-on,76%,13%,5%,4%,2%,551
PUMA Men's Redon Move Fashion Sneaker,64%,16%,8%,4%,8%,2140
Under Armour Men's HOVR Infinite 2 Running Shoe,79%,12%,5%,1%,3%,1789
adidas Men's Alphabounce Slide,83%,11%,3%,1%,2%,18330
adidas Originals Men's Swift Essential Sneaker,78%,11%,4%,2%,5%,1923
Amazon Essentials Men's Sport Casual Slip on Sneaker,60%,20%,10%,3%,8%,64
Nike Men's Court Royale AC Sneaker,76%,12%,7%,1%,4%,1345
Reebok Men's Nanoflex Tr Cross Trainer,72%,11%,5%,5%,8%,30
adidas Originals Men's Seeley Running Shoe,75%,14%,6%,2%,3%,9286
adidas Men's Advantage Sneaker,79%,13%,4%,1%,2%,7316
PUMA Men's Roma Classic Gum Sneaker,70%,14%,6%,3%,7%,2591
adidas Men's Kaptir 2.0 Running Shoe,81%,10%,4%,1%,3%,640
Tommy Hilfiger Men's Rezz Sneaker,81%,12%,3%,1%,3%,660
Concept 3 by Skechers Men's Hearn Lace-up Mesh Sneaker,69%,20%,6%,2%,2%,1295
adidas Originals Unisex-Adult Tubular Doom Sock PK Running Shoe,74%,10%,8%,2%,6%,336
Reebok Men's Nanoflex Cross Trainer,67%,15%,9%,3%,5%,541
