name,5,4,3,2,1,total
Fusion5 14.1inch A90B+ Pro 64GB Windows 10 Laptop - 4GB RAM 64GB Storage Full HD IPS Bluetooth 2MP Webcam Dual Band WiFi Laptop,59%,20%,8%,4%,9%,"1,169"
"New Lenovo Flex 5 14"" 2-in-1 Touchscreen Laptop 8-Core AMD Ryzen 7 4700U (Beat i7-8550U) FHD IPS Backlit Fingerprint Bundled with Woov Sleeve Win 10 Black (8GB|1024GB SSD)",68%,16%,0%,16%,0%,8
200W AC Charger Fit for HP L00818-850 TPN-DA10 TPN-LA21 L73385-001 HP Omen 15 17 zbook 15 17 Pavilion Gaming 15 17 Envy 15 2020,100%,0%,0%,0%,0%,1
2021 Newest Dell Inspiron 3000 Premium Laptop 15.6 FHD Display Intel Core i5-1135G7 16GB DDR4 RAM 1TB PCIe SSD Online Meeting Ready Webcam WiFi HDMI Windows 10 Home Black,77%,10%,6%,3%,4%,64
"2020 Flagship HP 14 Chromebook Laptop Computer 14"" HD SVA Anti-Glare Display Intel Celeron N5000 Quad-Core Processor 4GB DDR4 64GB eMMC WiFi Webcam Chrome OS (Renewed)",78%,10%,5%,2%,5%,"1,360"
ASUS ROG Strix G15 (2021) Gaming Laptop 15.6” 300Hz 3ms IPS Type FHD Display NVIDIA GeForce RTX 3060 AMD Ryzen 7 4800H 16GB DDR4 512GB PCIe SSD RGB Keyboard Windows 10 G513IM-EB74,70%,10%,12%,5%,3%,53
"2021 Newest HP 17 17.3"" FHD Windows 10 Pro Business Laptop Computer 11th Gen Intel Quad-Core i5-1135G7 up to 4.2GHz (Beat i7-1065G7) 64GB DDR4 RAM 2TB PCIe SSD AC WiFi BT 4.2 64GB Flash Drive",89%,11%,0%,0%,0%,30
Newest HP 14 inch HD Display Laptop for Business or Student AMD Ryzen 3 3250U 16GB DDR4 RAM 1TB HDD WiFi Bluetooth HDMI Windows 10,76%,12%,7%,0%,5%,116
HP Pavilion Laptop (2021 Latest Model) AMD Athlon 3050U Processor 16GB RAM 256GB SSD Long Battery Life Webcam HDMI Bluetooth WiFi Gold Win 10 + Oydisen Cloth,76%,8%,5%,1%,10%,116
"14.1"" Full HD Windows 10 Laptop - 128GB Storage 4GB RAM T90B+ Pro Model Lapbook Intel Quad Core CPU Dual Band WiFi (2X WiFi Speeds) Supports M.2 SATA SSD",52%,20%,8%,6%,14%,"2,667"
[Upgrade] CHUWI HeroBook Pro 14.1 inch Laptop PC Intel Gemini-Lake N4020 Quad-Core 1920x1080 FHD IPS Display Ultra Slim Laptop Computer 8G RAM 256GB SSD Windows 10(Support to Update Win 11),56%,15%,8%,5%,15%,"1,121"
HP 15.6in Laptop (Intel Pentium Quad-Core N5000 4GB RAM 128GB SSD HDMI WiFi Bluetooth HD Webcam Windows 10 S) (Renewed),78%,11%,3%,2%,6%,844
"New Dell Inspiron 15 3000 Laptop Computer 15.6"" HD Display Intel Pentium N5030 Quad-Core Processor up to 3.1GHz 8GB DDR4 RAM 256GB PCIe SSD HD Webcam HDMI Bluetooth Wi-Fi Windows 10",100%,0%,0%,0%,0%,2
2021 Newest HP 15.6” HD Screen Laptop 10th Generation Intel Core i3-1005G1 Dual-Core Processor 8 GB DDR4 RAM 256 GB PCIe NVMe M.2 SSD Intel UHD Graphics Wi-Fi Webcam Windows 10 Home in S Mode,74%,20%,4%,0%,2%,67
ASUS ZenBook Flip 13 OLED Ultra Slim Convertible Laptop 13.3” OLED FHD Touch Screen Intel Evo Platform Core i7-1165G7 CPU Intel Iris Xe 16GB RAM 1TB SSD Windows 10 Pro Pine Grey UX363EA-AS74T,77%,11%,7%,2%,2%,70
"Lenovo IdeaPad 3 15.6"" HD (1366x768) Touchscreen Laptop Intel Core i5-10210U 1.6GHz 8GB RAM 512GB SSD Windows 10 Home Abyss Blue",77%,17%,0%,0%,6%,34
"New HP 15.6"" HD Touchscreen Laptop Intel Core i3-1005G1 8GB DDR4 RAM 128GB SSD HDMI Bluetooth 802.11/b/g/n/ac Windows 10 15-dy1731ms Silver",77%,13%,4%,1%,5%,"1,637"
"GIGABYTE AERO 15 OLED KD - 15.6"" UHD 4k AMOLED IPS Intel Core i7 NVIDIA GeForce RTX 3060 Laptop GPU 6GB GDDR6 16GB RAM 512 GB SSD Win10 Pro Creator Laptop (AERO 15 OLED KD-72US623SP)",57%,22%,7%,4%,10%,38
"Jumper Laptop 13.3"" Full HD 1920 x 1080 IPS 4GB RAM 128GB ROM Windows 10 Celeron Processor Thin and Light Laptop Free Office 1 Year Dual Band 5GHz WiFiBluetooth with Webcam",53%,15%,9%,6%,17%,"1,894"
Cat8 Ethernet Cable 20ft ShieldedHigh Speed 40Gbps 2000MHz SSTP Flat Internet Network LAN Cable with Gold Plated RJ45 Connector for Game ConsolePS5XboxRouterPCLaptopModemSwitchesHub,78%,12%,5%,0%,5%,80
"2021 Newest HP Notebook 15 Laptop 15.6"" Full HD Screen Intel Celeron N4020 Processor 8GB DDR4 Memory 128GB SSD 1-Year Microsoft Office 365 Webcam Type-C RJ-45 HDMI Windows 10 Home Black",68%,11%,11%,0%,10%,100
ASUS TUF Gaming F17 Gaming Laptop 17.3” 144Hz FHD IPS-Type Display Intel Core i5-10300H GeForce GTX 1650 Ti 8GB DDR4 512GB PCIe SSD RGB Keyboard Windows 10 Bonfire Black FX706LI-ES53,80%,12%,3%,1%,3%,279
ASUS Laptop L510 Ultra Thin Laptop 15.6” FHD Display Intel Celeron N4020 Processor 4GB RAM 64GB Storage Windows 10 Home in S Mode 1 Year Microsoft 365 Star Black L510MA-DB02,65%,18%,7%,3%,6%,"5,768"
HP 2021 Newest Stream 14in HD SVA Laptop Computer Intel Celeron N4000 Processor 4GB RAM 128GB Space(64GB eMMC+64GB MSD) Office 365 HDMI Bluetooth Windows 10 Blue AllyFlex MP Online Class,72%,14%,6%,2%,5%,628
HP Chromebook 14-inch HD Laptop Intel Celeron N4000 4 GB RAM 32 GB eMMC Chrome (14a-na0020nr Ceramic White),75%,13%,4%,2%,5%,"5,221"
"Lenovo IdeaPad Gaming 3 15 15.6"" Laptop 15.6"" FHD (1920 x 1080) Display AMD Ryzen 5 5600H Processor NVIDIA GeForce GTX 1650 8GB DDR4 RAM 256GB SSD Storage Windows 10H 82K20015US Shadow Black",74%,15%,5%,2%,4%,195
Laptop 15.6 inch Notebook IPS Display 64-bit Quad-core celeron_j3455 Processor 8GB RAM 256GB SSD scalable 1TB SSD Solid State Drive 10000mAh high Battery Life Windows 10 Pro,40%,15%,19%,6%,20%,44
HP 15-inch HD Laptop AMD Ryzen 3 3200U Processor 8 GB RAM 256 GB SSD Windows 10 Home (15-ef0021nr Natural Silver) (Renewed),100%,0%,0%,0%,0%,2
"Lenovo Flex 5 14"" 2-in-1 Laptop 14.0"" FHD (1920 x 1080) Touch Display AMD Ryzen 5 4500U Processor 16GB DDR4 256GB SSD AMD Radeon Graphics Digital Pen Included Win 10 81X20005US Graphite Grey",75%,13%,4%,2%,7%,"6,055"
Newest HP 17.3 FHD Bussiness Laptop Intel 11th Gen Core i5-1115G4 Up to 4.2GHz 16GB DDR4 RAM 1TB SSD WiFi HDMI Webcam Windows 10 Natural Silver w/GM Accessories,84%,8%,3%,0%,4%,39
"2020 HP 14"" HD (1366 x 768) Thin and Light Laptop PC Intel Celeron N4020 Dual-Core Processor 4GB DDR4 Memory 64GB eMMC HDMI WiFi Bluetooth Windows 10 S 1 Year Microsoft 365 Snowflake White",78%,8%,6%,2%,6%,99
"Acer Nitro 5 AN517-54-77KG Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",69%,14%,3%,3%,11%,145
HP Pavilion x360 14” Touchscreen Laptop 11th Gen Intel Core i5-1135G7 8 GB RAM 256 GB SSD Storage Full HD IPS Display Windows 10 Home OS Long Battery Life Work & Streaming (14-dw1024nr 2021),75%,14%,4%,1%,5%,355
Laptop 15.6-inch Celeron_j3455 Quad Core 6GB RAM 128GB SSD Full HD Display with Dual WiFi Mini HDMI Windows 10,35%,17%,16%,0%,31%,18
2021 Newest Dell Inspiron 15 3505 15.6 FHD LED-Backlit Laptop AMD Ryzen 3 3250U up to 3.5GHz 8GB DDR4 128GB SSD Online Meeting Ready Webcam HDMI Fingerprint Reader Windows 10 Home S,100%,0%,0%,0%,0%,2
Genuine ac Charger Compatible for Razer Blade 19.8V 8.33A 165W Laptop Charger AC Power Adapter RC30-0165 Power Cord,42%,15%,43%,0%,0%,3
45W USB C Charger 918337-001 844205-850 28769-001 for HP Chromebook 14 14A X360 14-ca0061dx 14-ca060nr 14-ca020nr 14-ca052wm 14-ca051wm 14-ca043cl 14-ca091wm 11-ae051wm 11-ae001tu 11-ae000,88%,6%,0%,2%,5%,76
"2021 Newest HP 14"" HD Laptop Light-Weight AMD 3020e(Up to 2.6GHz) 8GB RAM 128GB SSD + 64GB eMMC 1 Year Office 365 WiFi Bluetooth 5 USB Type-A&C HDMI Webcam Win10 w/Ghost Manta Accessories",67%,15%,6%,2%,8%,426
Dell ChromeBook 11.6 Inch HD (1366 x 768) Laptop NoteBook PC Intel Celeron N2840 Camera HDMI WIFI USB 3.0 SD Card Reader (Renewed),60%,16%,9%,4%,11%,"2,465"
2021 Newest HP Premium 14-inch HD Laptop Intel Dual-Core Processor Up to 2.8GHz 8GB RAM 64GB eMMC Storage Webcam Bluetooth HDMI Wi-Fi Gold Windows 10 with 1 Year Microsoft 365,70%,14%,5%,3%,8%,690
HP 14 Laptop AMD 3020e 4 GB RAM 64 GB eMMC Storage 14-inch HD Display Windows 10 Home in S Mode Long Battery Life Microsoft 365 (14-fq0010nr 2020),65%,20%,7%,3%,5%,150
"Lenovo IdeaPad Thin and Light Laptop 15.6"" FHD Display AMD Ryzen 5 5500U Processor (Beats i7-1185G7) 20GB RAM 512GB PCIe SSD Backlit Keyboard Fingerprint Reader Windows 10 Sand (Latest Model)",69%,17%,0%,9%,5%,33
"HP 15.6"" FHD Micro-Edge Slim Laptop AMD Dual-Core Ryzen 3 3250U (Beat i3-10110U) 16GB RAM 512GB SSD USB-C HDMI Wi-Fi Webcam HP Fast Charge SD Reader Mytrix_HDMI Cable Win 10",59%,13%,6%,9%,13%,25
"Lenovo IdeaPad 3 15.6"" FHD Anti-Glare Laptop Intel Core i3-1115G4 up to 4.1GHz 8GB DDR4 256GB SSD Webcam HDMI Bluetooth Fingerprint Reader Windows 10 Home S TWE Mouse Pad Almond",100%,0%,0%,0%,0%,3
TECLAST F7 Plus2 14” Laptop Computer 8GB RAM 256GB SSD Windows 10 Laptop Up to 2.6GHz Intel N4120 1920x1080 FHD IPS Display Lightweight Windows Laptop 2.4G+5G WiFi Bluetooth Type-C Mini-HDMI,58%,10%,8%,7%,17%,68
"HP Pavilion 15 Laptop 15.6"" FHD IPS Anti-Glare Display 11th Gen Intel Core i5-1135G7 Intel Iris Xe Graphics 16 GB RAM 512 GB PCIe SSD Long Battery Life Fingerprint Reader Silver Windows 10",74%,9%,6%,2%,9%,173
"2021 Newest HP 17z Laptop 17.3"" HD+ Screen AMD Athlon Gold 3150U Processor 8GB DDR4 RAM 256GB PCIe NVMe M.2 SSD Wi-Fi Webcam Zoom Meeting Windows 10 Home Black",69%,16%,9%,2%,3%,74
ASUS ZenBook Flip 13 Ultra Slim Convertible Laptop 13.3” OLED FHD Touch Display Intel Core i5-1135G7 Processor Intel Iris Xe Graphics 8GB RAM 512GB SSD Windows 10 Home Pine Grey UX363EA-DH51T,71%,9%,7%,3%,11%,91
2021 Lenovo ThinkPad E15 15.6” FHD Business Laptop Computer 10th gen Intel i5-10210U (up to 4.20GHz) 16GB RAM 512GB SSD WiFi HDMI Win10 Pro,80%,11%,4%,1%,5%,223
"Lenovo IdeaPad 3 14 Laptop AMD Ryzen 5 5500U Processor 8GB DDR4 RAM 256GB NVMe TLC SSD Storage 14.0"" FHD (1920 x 1080) Display AMD Radeon 7 Graphics Windows 10 Home 82KT00AMUS Abyss Blue",74%,18%,4%,1%,3%,157
HP Chromebook 11-inch Laptop - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0010nr 2020 Model),72%,14%,6%,2%,5%,"1,342"
"LG Gram 16Z90P Laptop 16"" IPS Ultra-Lightweight (2560 x 1600) Intel Evo 11th gen Core i7  16GB RAM 1TB SSD Upgradeable Windows 10 Home Alexa Built-in 2X USB-C HDMI USB-A - Silver",78%,16%,4%,3%,0%,75
"Lenovo Legion Y545 15.6"" FHD IPS Notebook - Intel Core i7-9750H 2.6GHz - 16GB RAM + 256GB PCIe SSD + 1TB HDD - NVIDIA GeForce GTX 1660 Ti 6GB - Windows 10 Home Black",100%,0%,0%,0%,0%,6
"15.6"" S15 Full HD Windows 10 Professional Slim n Light Laptop - 128GB Storage 4GB RAM S15 Model Lapbook Dedicated Num-Pad Dual-Band WiFi Expandable Storage",54%,25%,7%,7%,8%,81
Chromebook Charger Fit for HP 65W 45W Chromebook Type USB-C Series Laptop Chromebook 14 14A G5 11 11A G6 G7 G8 EE 11-AE 14-CA 14-ca0061dx 14-ca060nr 14-ca020nr 14-ca052wm 14-ca051wm 14-ca043cl Laptop,87%,6%,0%,0%,6%,22
"HP 15.6"" HD Intel 10th Gen i3-1005G1 3.4GHz 8GB RAM 256GB SSD Win 10 Laptop",73%,13%,4%,1%,9%,236
